Raw,Raw_Translated,Clean,Clean_Translated,Tag,,,,,
sige na nga HAHAHA,okay hahaha,sige na nga HAHAHA,okay hahaha,0,,,,,
Sige nga Maging transparent kayo sa Government trqnsactions Baka maniwala pa ako,You should be transparent to government trqnsactions maybe I can believe,Sige nga. Maging transparent kayo sa Government transactions. Baka maniwala pa ako,All right. Be transparent in government transactions. I might believe,0,,,,,
Sign of being financially independentYung kaya mo nang magpalaman ng cheezwiz ng hindi ka pinipigilan ng nanay mo,SIGN OF BEING FINANCIALLY INDEPENDENTYUNG CAN MAKE CHEEZWIZ without your mother holding you,Sign of being financially independent Yung kaya mo nang magpalaman ng cheezwiz ng hindi ka pinipigilan ng nanay mo,SIGN OF BEING FINANCIALLY INDEPENDENT YOU CAN MAKE CHEEZWIZ without your mother holding you,0,,,,,
Sign of being financially independent Yung kaya mo nang magpalaman ng cheezwiz ng hindi ka pinipigilan ng nanay mo,SIGN OF BEING FINANCIALLY INDEPENDENT YOU CAN MAKE CHEEZWIZ without your mother holding you,Sign of being financially independent Yung kaya mo nang magpalaman ng cheezwiz ng hindi ka pinipigilan ng nanay mo,SIGN OF BEING FINANCIALLY INDEPENDENT YOU CAN MAKE CHEEZWIZ without your mother holding you,0,,,,,
sim Simple because of his sheer hypocrisy,sim Simple because of his sheer hypocrisy,sim Simple because of his sheer hypocrisy,sim Simple because of his sheer hypocrisy,0,,,,,
Sino ba ang nauna pipay Ngayon sinasabi mo na inaatake ka ng BBM supporters WTF nasa tweet mo ang sagot ulol ka Kaw kasi nagkapangalan ka lang sa tiktok eh na forward na yang ngipin este bunganga mo sa politika para namang dami mo alam at talagang kaw at ang mga kakapink,Who is the first Pipay right now you say that BBM supporters wtf are attacking you in the tweet you are so stupid because you are just named by the aunt that is forward to your teeth in politics so you know how much you know and really know and the mga kapapank,Sino ba ang nauna pipay Ngayon sinasabi mo na inaatake ka ng BBM supporters WTF nasa tweet mo ang sagot ulol ka Kaw kasi nagkapangalan ka lang sa tiktok eh na forward na yang ngipin este bunganga mo sa politika para namang dami mo alam at talagang kaw at ang mga kakapink,Who is the first Pipay right now you say that BBM supporters wtf are attacking you in the tweet you are so stupid because you are just named by the aunt that is forward to your teeth in politics so you know how much you know and really know and the mga kapapank,1,,,,,
sino diyan,Who is there,sino diyan,Who is there,0,,,,,
Sino ka dyan tito,Who are you there,Sino ka dyan tito,Who are you there,0,,,,,
Sino tinatanong mo hehe,Who are you asking hehe,Sino tinatanong mo hehe,Who are you asking hehe,0,,,,,
sinong engot nabagsakan ng upuan yung paa kagabe sa inuman,Who is the one who fell down the chair of the foot so much to the drink,sinong engot nabagsakan ng upuan yung paa kagabi sa inuman,Who was the one who fell down with a chair last night with a drink,1,,,,,
Sinong hindi masusuka Love n love nila ang,Who doesn't vomit they love n they love the,Sinong hindi masusuka. Love na love nila ang,Who wouldn't vomit. Love that they love the,0,,,,,
Sinusulit nila service ko sulitin ko rin services nila aba Volunteer,They try my service as well as their services volunteer,Sinusulit nila service ko sulitin ko rin services nila aba Volunteer,They try my service as well as their services volunteer,0,,,,,
SIRAULO HAHAHA,Siraulo hahaha,SIRAULO HAHAHA,Siraulo hahaha,1,,,,,
SIRAULO HAHAHAHAHAH,Siraulo hahahahahah,SIRAULO HAHAHAHAHAH,Siraulo hahahahahah,1,,,,,
SIRAULO HAHAHAHAHAHA,Siraulo hahahahahaha,SIRAULO HAHAHAHAHAHA,Siraulo hahahahahaha,1,,,,,
siraulo ka yata eh gt,You are so gt,siraulo ka yata eh gt,You are so gt,1,,,,,
siraulo ka yata eh gt,You are so gt,siraulo ka yata eh gt,You are so gt,1,,,,,
Siraulo Haha,Siraulo haha,Siraulo. Haha,Siraulo. Haha,1,,,,,
Slightly wholesome but violent at the same time,Slightly wholesome but violent at the same time,Slightly wholesome but violent at the same time,Slightly wholesome but violent at the same time,0,,,,,
Sm Calamba,SM Older,Sm Calamba,SM Older,0,,,,,
Small world ha,Small world ha,Small world ha,Small world ha,0,,,,,
So ayan papasok na naman ako mamaya nang walang tulog,So I'll come back later without sleep,So ayan papasok na naman ako mamaya nang walang tulog,So I'll come back later without sleep,0,,,,,
So ayun nag palpitate tayo today hahahahahaha,So let's have a palpitate today hahahahahaha,So ayun nag palpitate tayo today hahahahahaha,So let's have a palpitate today hahahahahaha,0,,,,,
So ayun nagpalpitate tayo today hahahahahaha,So let's talk today hahahahahaha,So ayun nagpalpitate tayo today hahahahahaha,So let's talk today hahahahahaha,0,,,,,
so i made a vid of me amp my crush tapos para akong tanga na kinikilig,So I made a vid of me amp my crush then I was a fool,so i made a vid of me amp my crush tapos para akong tanga na kinikilig,So I made a vid of me amp my crush then I was a fool,1,,,,,
So it started raining hard now,So it started raining hard now,So it started raining hard now,So it started raining hard now,0,,,,,
So sinong siraulo ang nanonood ng mukbang sa madaling araw,So who is the one who watches the mukbang at dawn,So sinong siraulo ang nanonood ng mukbang sa madaling araw,So who is the one who watches the mukbang at dawn,1,,,,,
SO THATS why its so fucking mainit its raining naaaaaa,So thats why its so fucking hot its raining naaaaaa,SO THATS why its so fucking mainit its raining na,SO THATS why its so fucking mainit its raining na,1,,,,,
SO THATS why its so fucking mainit its raining na,SO THATS why its so fucking mainit its raining na,SO THATS why its so fucking mainit its raining na,SO THATS why its so fucking mainit its raining na,1,,,,,
So we still have just 6 episodes to watch between the whole story from Walter White up to Jimmy working at CinnabonBetterCallSaul BreakingBad,So we still have just 6 episodes to watch between the whole story from Walter White up to Jimmy working at CinnabonBetterCallSaul BreakingBad,So we still have just 6 episodes to watch between the whole story from Walter White up to Jimmy working at CinnabonBetterCallSaul BreakingBad,So we still have just 6 episodes to watch between the whole story from Walter White up to Jimmy working at CinnabonBetterCallSaul BreakingBad,0,,,,,
So what time kaya makakauwi today,So what time so can go home today,So what time kaya makakauwi today,So what time so can go home today,0,,,,,
Sobrang goods non kainis,Extremely Goods non interesting,Sobrang goods non kainis,Extremely Goods non interesting,0,,,,,
sobrang miss na miss na miss na miss na kita lt,Extremely miss miss miss miss miss you lt lt,sobrang miss na miss na miss na miss na kita laugh trip,Extremely miss miss miss miss miss you laugh trip,0,,,,,
Sobrang nag kicrave ako sa iced coffee pero mas pinili ko na lang umuwi kaysa mag lakadlakad sa mall Sobrang pagod na akoooo,I was a bit of an iced coffee but I just chose to go home than walk to the mall I was very tired,Sobrang nag ke-crave ako sa iced coffee pero mas pinili ko na lang umuwi kaysa mag lakadlakad sa mall. Sobrang pagod na akoooo,I crave a lot of iced coffee but I just chose to go home than walk to the mall. I'm so tired,0,,,,,
Sobrang pagod today pero worth it sa sunday,Extremely tired today but worth it on Sunday,Sobrang pagod today. Pero worth it sa sunday,Extremely tired today. But it's worth it to Sunday,0,,,,,
Sobrang proud na proud ako sayoooo,I'm so proud that I'm proud of Sayoooo,Sobrang proud na proud ako sayo,I'm so proud of you,0,,,,,
Sobrang stressed ko kanina while dealing with HR and DOLE dahil sa complaint ko And umiiyak na ako sa galit sa HR namin so he decided na mag SampR na muna kami para naman daw mabago mood ko Ang sarap ng scampi,I was very stressed out while dealing with HR and DOLE because of my complaint and I was crying in anger at our HR so he decided to have a sampr first so I could change my mood for scampi,Sobrang stressed ko kanina while dealing with HR and DOLE dahil sa complaint ko And umiiyak na ako sa galit sa HR namin so he decided na mag SampR na muna kami para naman daw mabago mood ko Ang sarap ng scampi,I was very stressed out while dealing with HR and DOLE because of my complaint and I was crying in anger at our HR so he decided to have a sampr first so I could change my mood for scampi,1,,,,,
Sobrang swerte ni Lamina as a setter Great libero in Nierva and powerful attackers in her 5 spikers UAAPSeason84volleyball,Sobrang swerte ni Lamina as a setter Great libero in Nierva and powerful attackers in her 5 spikers UAAPSeason84volleyball,Sobrang swerte ni Lamina as a setter Great libero in Nierva and powerful attackers in her 5 spikers UAAP Season 84 volleyball,Sobrang swerte ni Lamina as a setter Great libero in Nierva and powerful attackers in her 5 spikers UAAP Season 84 volleyball,0,,,,,
some1 shut up u fcking noodles ass country eh putangina mo palang gago ka ulol HAHAHAHWHAHWHWHWHW MIMA GALET NA GALET,some1 shut up u fcking noodles ass country,someone shut up. u fucking noodles. ass country. eh putangina mo palang gago ka. ulol. MIMA GALET NA GALET,Someone shut up. U fucking noodles. Ass country. Eh putangina you are crazy. Ulol. Galet,1,,,,,
Something i can brag about,Something i can brag about,Something i can brag about,Something i can brag about,0,,,,,
Sometimes its better to reflect on your own self and never compare your capabilities to others Each of us has his own uniqueness and abilities I may be good in writing but cannot ride a bike while you hardly speak in public but are able to fix a broken machine,Sometimes its better to reflect on your own self and never compare your capabilities to others Each of us has his own uniqueness and abilities I may be good in writing but cannot ride a bike while you hardly speak in public but are able to fix a broken machine,Sometimes its better to reflect on your own self and never compare your capabilities to others Each of us has his own uniqueness and abilities I may be good in writing but cannot ride a bike while you hardly speak in public but are able to fix a broken machine,Sometimes its better to reflect on your own self and never compare your capabilities to others Each of us has his own uniqueness and abilities I may be good in writing but cannot ride a bike while you hardly speak in public but are able to fix a broken machine,0,,,,,
Sound Like PEACE,Sound Like PEACE,Sound Like PEACE,Sound Like PEACE,0,,,,,
Still dont have the energy to catch negativity di pa ako naka recover,Still dont have the energy to catch negativity di pa ako naka recover,Still dont have the energy to catch negativity hindi pa ako naka recover,Still dont have the energy to catch negativity i haven't recovered yet,1,,,,,
Stress but still pretty hays,Stress but still pretty hays,Stress but still pretty hays,Stress but still pretty hays,0,,,,,
Stress sa Katrabaho,Stress on co -workers,Stress sa Katrabaho,Stress on co -workers,0,,,,,
STUPID,STUPID,STUPID,STUPID,1,,,,,
Sumpa ba talaga,Curse really,Sumpa ba talaga,Curse really,1,,,,,
sunduin pa baga kita,Will I take you more,sunduin pa baga kita,Will I take you more,0,,,,,
Survivor 42 finale Lets go,Survivor 42 finale Lets go,Survivor 42 finale Lets go,Survivor 42 finale Lets go,0,,,,,
susuntukin na kita tingnan mo,I'll hit you,susuntukin na kita tingnan mo,I'll hit you,1,,,,,
sw8 talaga ng girlfriend ko,SW8 really my girlfriend,sweet talaga ng girlfriend ko,my girlfriend is really sweet,0,,,,,
Sweldo mo syempre hahahhaha,You pay of course hahahhaha,Sweldo mo syempre hahahhaha,You pay of course hahahhaha,0,,,,,
Swerte nyo when you get a partner or a friend who has good background in philosophy and psychology I say what I have to say haha,Swerte nyo when you get a partner or a friend who has good background in philosophy and psychology I say what I have to say haha,Swerte nyo when you get a partner or a friend who has good background in philosophy and psychology I say what I have to say haha,Swerte nyo when you get a partner or a friend who has good background in philosophy and psychology I say what I have to say haha,0,,,,,
SIEMPRE BIBILI AKO SIS OMG ITS NICE TO BE ALIVE,Of course i will buy sis omg its nice to be alive,SYEMPRE BIBILI AKO SIS OMG ITS NICE TO BE ALIVE,Of course i will buy sis omg its nice to be alive,0,,,,,
syempre mabait kayo ngayon kasi nandito si daddy hahaha mga kamaganak nga naman pakitang tao hahahahahahaha,Of course you are kind now because daddy is here hahaha relatives are just a man hahahahahahaha,syempre mabait kayo ngayon kasi nandito si daddy hahaha mga kamaganak nga naman pakitang tao hahahahahahaha,Of course you are kind now because daddy is here hahaha relatives are just a man hahahahahahaha,1,,,,,
SYEMPRE NO,Of course no,SYEMPRE NO,Of course no,0,,,,,
taena mo sment may mga nawala pa talaga,Taena mo sment there are still lost,taena mo sment may mga nawala pa talaga,Taena mo sment there are still lost,1,,,,,
Taena talaga e Kung kailan nag mamadali ka yung jeep na sasakyan mo bigla magpapagas,Taena really e when you hurried to the jeep that you suddenly got up,Taena talaga e. Kung kailan nag mamadali ka yung jeep na sasakyan mo bigla magpapagas.,Taena talaga e. When you hurry up the jeep of your car suddenly gets up.,1,,,,,
taenang dave to sa sobrang ulol ko sayo napapanaginipan na kitaa,Dave to me in my craziness,taenang dave to. sa sobrang ulol ko sayo napapanaginipan na kitaa,Taenang Dave to. I was so mad at you that I dreamed of seeing,1,,,,,
Taenang ulan yan dina naubos,It was raining when it was exhausted,Taenang ulan yan dina naubos,It was raining when it was exhausted,1,,,,,
Tagal mag peel off,Duration to peel off,Tagal mag peel off,Duration to peel off,0,,,,,
Tagal ni jam,Jam's duration,Tagal ni jam,Jam's duration,0,,,,,
Tagay o seks,Cheers or sex,Tagay o seks,Cheers or sex,1,,,,,
Takte qt ng wall paper ko mapapatawa nalang ako bigla pag na kikita ko amp,TAKTE QT OF WALL PAPER I CAN MAKE I,Takte qt ng wall paper ko mapapatawa nalang ako bigla pag na kikita ko. amp,My wall paper is a joke that I can laugh when I get up. Amp,0,,,,,
TAMA BA YON,Tama low a,TAMA BA YON,Tama low a,0,,,,,
Tamod na tamod ako ngayong araw na to,I'm so cute today,Tamod na tamod ako ngayong araw na to,I'm so cute today,1,,,,,
Tang Ina ano Wala nang kamustahan gagaling nyo pag may mga kailangan kayofuckyoukayomgaletcheekis ka Sakin ulol,Tang mom what no more you will be able to do if you need something you need,Tang Ina ano Wala nang kamustahan gagaling nyo pag may mga kailangan kayofuckyoukayomgaletcheekis ka Sakin ulol,Tang mom what no more you will be able to do if you need something you need,1,,,,,
Tanga lang maniniwala sayo Ulol,Just believe in you crazy,Tanga lang maniniwala sayo Ulol,Just believe in you crazy,1,,,,,
TANGA si Leni Plain and Simple i dont what else to tell them,TANGA si Leni Plain and Simple i dont what else to tell them,TANGA si Leni Plain and Simple i dont what else to tell them,TANGA si Leni Plain and Simple i dont what else to tell them,1,,,,,
Tanggal angas mo kapag yung white shoes mo nailusong sa bahaan,Get rid of it when the white shoes you go to the flood,Tanggal angas mo kapag yung white shoes mo nailusong sa bahaan,Get rid of it when the white shoes you go to the flood,0,,,,,
tangina,Tangina,tangina,Tangina,1,,,,,
Tangina anlalagkit ng tingin ng mga nakakasalubong kong straight straight sumubo,Tangina anlakit's gaze of those who meet my straight straight straight,Tangina anlalagkit ng tingin ng mga nakakasalubong kong straight straight sumubo,Tangina anlakit's gaze of those who meet my straight straight straight,1,,,,,
Tangina Changlix never lubog pota i labyuuuuu,Tangina Changlix Never Subog Pota I Labyuuuu,Tangina Changlix never lubog pota i labyuuuuu,Tangina Changlix Never Subog Pota I Labyuuuu,1,,,,,
Tangina gusto ko ma force leave pagod nako,Tangina i want to force leave i am tired,Tangina gusto ko ma force leave pagod nako,Tangina i want to force leave i am tired,1,,,,,
Kinginaaaa HAHAHAHAHAHAHAHAHAHAHAHAHA,"Kingside ,hahahahahaha",tangina HAHAHAHAHAHAHAHAHAHAHAHAHA,Tangina hahahahahahahahahahahahaha,1,,,,,
Tangina labas na lahat na nag 10 ULOL KAYO,Just get out of all that you have 10 crazed,Tangina labas na lahat na nag 10 ULOL KAYO,Just get out of all that you have 10 crazed,1,,,,,
tangina miss na miss kona si jc,tangina miss na miss kano si jc,tangina miss na miss ko na si jc,tangina miss i miss JC,1,,,,,
Tng ina na pepressure nko pede ba e tulog habang buhay pota,Tng mom na pepressure nko pede ba e sleep during life pota,Tangina na prepressure na ako pwede ba tulog habangbuhay pota,Tangina na prepressure that i can sleep while lifetime dota,1,,,,,
tangina talaga nya porket nasa mataas ganyan na aba pukingina mo pakyu,he really porket in high such an oh puzzle you pakyu,"Tangina niya talaga . Dahil lang nasa mataas ganyan na. Aba, pukingina mo pakyu","He really does. It's just because it's high. Alas, you are the hack",1,,,,,
tangina parang bagong kasal ang jenlisa HAHAHAHAAH,Jenlisa looks like a newlywed hahahahaah,tangina parang bagong kasal ang jenlisa HAHAHAHAAH,Jenlisa looks like a newlywed hahahahaah,1,,,,,
TANGINA SORRY FOR THE WORD PERO SI WONU JEON NAG POST,Tangina sorry for the word but wonu jeon posted,TANGINA SORRY FOR THE WORD PERO SI WONU JEON NAG POST,Tangina sorry for the word but wonu jeon posted,1,,,,,
tangina talaga nya dahil lang nasa mataas ganyan na aba pukingina mo pakyu,he really is just because he is so high,tangina talaga nya dahil lang nasa mataas ganyan na aba pukingina mo pakyu,he really is just because he is so high,1,,,,,
tangina galing manira ng araw ah,Tangina from the day ah ah,"tangina, ang galing manira ng araw ah","Tangina, the great day of the day ah",1,,,,,
tangina ang hot ni jake,Jake's hot,"tangina, ang hot ni jake","Tangina, Jake's hot",1,,,,,
TANGINA NG JUICY COUTURE AMPUTA ANG HUSAY,Juicy Couture Amputa Tangina,"TANGINA, NG JUICY COUTURE ,PUTA, ANG HUSAY","Tangina, of juicy couture, hook, the skill",1,,,,,
Taena nung mga fans ni kit connor ampota san nila nakukuha yung mga vids nya HAHAHAHAHAH even an old commercial,The fans of Kit Connor Ampota did not get his vids hahahahahah even an old commercial,"tangina, nung mga fans ni kit connor ampota san nila nakukuha yung mga vids nya HAHAHAHAHAH even an old commercial","Tangina, the fans of Kit Connor Ampota when they get his vids hahahahahah even an old commercial",1,,,,,
Tangina isa rin hahahahahahaha,Tangina one too hahahahahahaha,Tangina. isa rin hahahahahahaha,Tangina. One too hahahahahahaha,1,,,,,
Tangina Nakaka matay ung init Buset,Tangina is a very high heat buset,Tangina. Nakaka matay ung init Buset,Tangina. It was a high heat buset,1,,,,,
Tanginang yan hahah,Tanginang yan hahah,Tanginang yan hahah,Tanginang yan hahah,1,,,,,
Tapos every announcement ng Cabinet member may hiyaw at excitement Sayang,Then every announcement of the cabinet member with a cry and excitement dear,Tapos every announcement ng Cabinet member may hiyaw at excitement. Sayang,Then every announcement of the cabinet member has a cry and excitement. Sayang,0,,,,,
Tapos na Stats Exam Wieee HAHAHA,Done stats exam wieee hahaha,Tapos na. Stats Exam Wieee HAHAHA,Finished. Stats exam wieee hahaha,0,,,,,
Tara dito bahay dalawa kayo ni karen hahahaha,Tara here home you two karen hahahaha,"Tara dito sa bahay, dalawa kayo ni karen hahahaha","Come here at home, Karen and you are two hahahaha",0,,,,,
Tara Italy,Tara Italy,Tara Italy,Tara Italy,0,,,,,
Tara sa tagaytay,Let's go to Tagaytay,Tara sa tagaytay,Let's go to Tagaytay,0,,,,,
Teka nag lilinis akong kwarto hahahah 5pm pa ko lalaro potaena Ayoko 5man nakaka ulol,I was cleaning my room hahahah 5pm I was playing Potaena Ayoko 5man,Teka nag lilinis akong kwarto hahahah 5pm pa ko lalaro potaena Ayoko 5man nakaka ulol,I was cleaning my room hahahah 5pm I was playing Potaena Ayoko 5man,1,,,,,
text ka daw kay ellyn hahahahaha sabi nya sakin bigyan mo muna daw sya load,You text Ellyn hahahahaha she says she'll give me a load first,text ka daw kay ellyn hahahahaha. sabi niya sakin bigyan mo muna daw siya load,Text you like Ellyn hahahahaha. He says he'll give him a load first,0,,,,,
thank you idol for ur support,thank you idol for ur support,thank you idol for your support,thank you idol for your support,0,,,,,
Thank you Lord for the safe flight,Thank you Lord for the safe flight,Thank you Lord for the safe flight,Thank you Lord for the safe flight,0,,,,,
Thank you Lord Jesus. The best ka talaga Thursday,Thank you Lord Jesus. The best ka talaga Thursday,"Thank you Lord Jesus. The best ka talaga, Thursday","Thank you Lord Jesus. The best ka talaga, Thursday",0,,,,,
Thank you lord naka pasa naman lahat ng quizzes,Thank you lord all the quizzes passed,Thank you lord naka pasa naman lahat ng quizzes,Thank you lord all the quizzes passed,0,,,,,
THANK YOU LORD NAPAKABUTI NYO PO Lahat ng hiling ko ngayon nangyare Salamat G,Thank you Lord very well all my wish now thank you g,THANK YOU LORD NAPAKABUTI NYO PO Lahat ng hiling ko ngayon nangyare Salamat G,Thank you Lord very well all my wish now thank you g,0,,,,,
Thank you my friend God bless,Thank you my friend God bless,Thank you my friend God bless,Thank you my friend God bless,0,,,,,
Thank you u,Thank you u,Thank you you,Thank you you,0,,,,,
Thanks I miss you na,Thanks i miss you already,Thanks I miss you na,Thanks i miss you already,0,,,,,
thanks saem to u sis the ulol family,thanks saem to u sis the ulol family,thanks saem to u sis the ulol family,thanks saem to u sis the ulol family,1,,,,,
Thankyou so much Very accomodating and ang babait ng staff With ph09 Glims Skin and Body Clinic,Thankyou so much Very accomodating and ang babait ng staff With ph09 Glims Skin and Body Clinic,Thankyou so much Very accomodating and ang babait ng staff With ph09 Glims Skin and Body Clinic,Thankyou so much Very accomodating and ang babait ng staff With ph09 Glims Skin and Body Clinic,0,,,,,
Thankyouuuu girl,Thankyouuuu girl,Thankyouuuu girl,Thankyouuuu girl,0,,,,,
that go mahal kaya natin to tiwala lang,that go love we can just trust,that go mahal kaya natin to tiwala lang,that go love we can just trust,0,,,,,
That one hour swim has energized me,That one hour swim has energized me,That one hour swim has energized me,That one hour swim has energized me,0,,,,,
the most beautiful part is i wasnt even looking when i found you,the most beautiful part is i wasnt even looking when i found you,the most beautiful part is i wasnt even looking when i found you,the most beautiful part is i wasnt even looking when i found you,0,,,,,
The only BJ na di bawal sakin,The only BJ is not banned from me,The only BJ na di bawal sakin,The only BJ is not banned from me,1,,,,,
The question is do you love yourself,The question is do you love yourself,The question is do you love yourself,The question is do you love yourself,0,,,,,
The world is getting smaller and smaller Yung mga dating di ko mareach ngayon abot kamay na,The world is getting smaller and smaller the ones I used to miss now,"The world is getting smaller and smaller. Yung mga dating di ko ma-reach, ngayon abot kamay na","The world is getting smaller and smaller. Those who used to be unable to reach, now reach hands",0,,,,,
these two have been through everything together tita belle has always been there not only for mama but for all of us in many times and in so many waysi can still remember when i graduated in college tita even provided the stileto shoes that i wore during the ceremony,these two have been through everything together tita belle has always been there not only for mama but for all of us in many times and in so many waysi can still remember when i graduated in college tita even provided the stileto shoes that i wore during the ceremony,these two have been through everything together tita belle has always been there not only for mama but for all of us in many times and in so many waysi can still remember when i graduated in college tita even provided the stileto shoes that i wore during the ceremony,these two have been through everything together tita belle has always been there not only for mama but for all of us in many times and in so many waysi can still remember when i graduated in college tita even provided the stileto shoes that i wore during the ceremony,0,,,,,
they dont know my struggles,they dont know my struggles,they dont know my struggles,they dont know my struggles,1,,,,,
they have been best friends since they were in grade 1 actually yesterday i asked mama to tell me the whole story of how their friendship started specially back in the day when there is no cellphone to use as the means of a constant communication,they have been best friends since they were in grade 1 actually yesterday i asked mama to tell me the whole story of how their friendship started specially back in the day when there is no cellphone to use as the means of a constant communication,they have been best friends since they were in grade 1 actually yesterday i asked mama to tell me the whole story of how their friendship started specially back in the day when there is no cellphone to use as the means of a constant communication,they have been best friends since they were in grade 1 actually yesterday i asked mama to tell me the whole story of how their friendship started specially back in the day when there is no cellphone to use as the means of a constant communication,0,,,,,
they look so cute,they look so cute,they look so cute,they look so cute,0,,,,,
This heavy heart caused by too much thinking will kill me fr,This heavy heart caused by too much thinking will kill me fr,This heavy heart caused by too much thinking will kill me for real,This heavy heart caused by too much thinking will kill me for real,1,,,,,
This house feels like home,This house feels like home,This house feels like home,This house feels like home,0,,,,,
those who have been those who have been with you even those who have not,those who have been those who have been with you even those who have not,those who have been those who have been with you even those who have not,those who have been those who have been with you even those who have not,0,,,,,
tindi napapanaginipan ko na,I have never dreamed that,tindi napapanaginipan ko na,I have never dreamed that,0,,,,,
Tired from work Pressure sa decision making Doing all the stuffs my siblings ask me to do Aaaaa tangina Fk this,Tired from work Pressure sa decision making Doing all the stuffs my siblings ask me to do Aaaaa tangina Fk this,Tired from work Pressure sa decision making. Doing all the stuffs my siblings ask me to do tangina Fuck this,Tired from work Pressure sa decision making. Doing all the stuffs my siblings ask me to do tangina Fuck this,1,,,,,
Tired lang yarn rest lang,Tired lang yarn rest lang,"Tired lang yan, rest lang","Tired lang yan, rest lang",0,,,,,
To all of us fighting our silent battles May we never lose hope even in the darkest points of life Let this light guide us,To all of us fighting our silent battles May we never lose hope even in the darkest points of life Let this light guide us,To all of us fighting our silent battles May we never lose hope even in the darkest points of life Let this light guide us,To all of us fighting our silent battles May we never lose hope even in the darkest points of life Let this light guide us,0,,,,,
totoo vev nakaka excite nga huhu,true vev excite nga huhu,totoo vev nakaka excite nga huhu,true vev excite nga huhu,0,,,,,
True mamaya nasa boracay na kami ikaw nagpapaalam palang hays,True later in Boracay we are letting you know hays,True mamaya nasa boracay na kami ikaw nagpapaalam palang hays,True later in Boracay we are letting you know hays,0,,,,,
Trueeee ang tagal mare,Trueeee the duration mare,Trueeee ang tagal mare,Trueeee the duration mare,0,,,,,
Truth be told It is,Truth be told It is,Truth be told It is,Truth be told It is,0,,,,,
Tsismis a HAHAHA,Gossip a hahaha,Tsismis a HAHAHA,Gossip a hahaha,0,,,,,
tulis mo naman magserve pia,You can do it for Pia,tulis mo naman magserve pia,You can do it for Pia,0,,,,,
Tuwang tuwa nanaman lol,Always happy nanaman lol,Tuwang tuwa nanaman lol,Always happy nanaman lol,0,,,,,
Ugh kantot me please,Ugh kantot me please,Ugh kantot me please,Ugh kantot me please,1,,,,,
Uhaw na uhaw ka sa titi at tamod x The fuck tama nga tita ko hndi ka matino,You are thirsty for dick and semen x The fuck is right my aunt hndi you are sober,Uhaw na uhaw ka sa titi at tamod x The fuck tama nga tita ko hndi ka matino,You are thirsty for dick and semen x The fuck is right my aunt hndi you are sober,1,,,,,
Ulol,Ulol,Ulol,Ulol,1,,,,,
ulol,Ulol,ulol,Ulol,1,,,,,
Ulol bestfriend amp HAHAHAHAHA,Ulol bestfriend amp hahahahaha,Ulol bestfriend amp HAHAHAHAHA,Ulol bestfriend amp hahahahaha,1,,,,,
Ulol gago bobo po talaga sya di yan gragraduate ng di nagpapa gawa ng thesis at assignments nya,He is so stupid that he is really not a gragraduate of his thesis and assignments,Ulol gago bobo po talaga sya di yan gragraduate ng di nagpapa gawa ng thesis at assignments nya,He is so stupid that he is really not a gragraduate of his thesis and assignments,1,,,,,
ULOL GAGO KA,You're crazy,ULOL GAGO KA,You're crazy,1,,,,,
ULOL GAGO KA,You're crazy,ULOL GAGO KA,You're crazy,1,,,,,
ulol HAHAHAHAH,ULOL HAHAHAHAH,ulol HAHAHAHAH,ULOL HAHAHAHAH,1,,,,,
Ulol HAHAHAHAHA,ULOL HAHAHAHAHA,Ulol HAHAHAHAHA,ULOL HAHAHAHAHA,1,,,,,
Ulol hahhaa,Ulol hahahaa,Ulol hahhaa,Ulol hahahaa,1,,,,,
Ulol hhahah,Ulol hhahah,Ulol hhahah,Ulol hhahah,1,,,,,
ulol ka,You're crazy,ulol ka,You're crazy,1,,,,,
Ulol ka Andy Bautista half mast mo ang mukha mo,You're a fool Andy Bautista half mast your face,Ulol ka Andy Bautista. half mast mo ang mukha mo,You are Andy Bautista. Half mast your face,1,,,,,
Ulol ka Gago ka,You are crazy,Ulol ka Gago ka,You are crazy,1,,,,,
Ulol kaba,Ulol kaba,Ulol kaba,Ulol kaba,1,,,,,
Ulol manahimik ka,You are quiet,Ulol manahimik ka,You are quiet,1,,,,,
ulol mga pangetpwe,Stupid Pangetpwe,ulol mga pangetpwe,Stupid Pangetpwe,1,,,,,
ulol na ulol ka saken no di naman kita ginayuma vebs,You are so stupid that I don't know how much I love you,ulol na ulol ka saken no di naman kita ginayuma vebs,You are so stupid that I don't know how much I love you,1,,,,,
ulol na ulol ka saken no di naman kita ginayuma vebs,You are so stupid that I don't know how much I love you,ulol na ulol ka saken no di naman kita ginayuma vebs,You are so stupid that I don't know how much I love you,1,,,,,
Ulol ng pari haha talo ang Pinklawan ngayon,The priest of the priest haha ​​los the pinclawan now,Ulol ng pari haha talo ang Pinklawan ngayon,The priest of the priest haha ​​los the pinclawan now,1,,,,,
ulol patunayan mo muna bkit di nyo sina sa sisi si FVR di nyo na kami mauuto,You must prove it first to blame fvr in you we will learn,ulol patunayan mo muna bkit di nyo sina sa sisi si FVR di nyo na kami mauuto,You must prove it first to blame fvr in you we will learn,1,,,,,
ulol tangina mo ukinam,Stupid tangina you ukinam,ulol tangina mo ukinam,Stupid tangina you ukinam,1,,,,,
ULOL WLA KAMING PAKE SA OPINYON MO LAOS KANA,We are so used to your opinion,ULOL WLA KAMING PAKE SA OPINYON MO LAOS KANA,We are so used to your opinion,1,,,,,
